iyear,Sum of nkill,Sum of nwound
1970,174,212
1971,173,82
1972,566,409
1973,370,495
1974,539,865
1975,617,617
1976,674,756
1977,456,518
1978,1459,1600
1979,2100,2506
1980,4400,3645
1981,4851,3337
1982,5136,3342
1983,9444,4047
1984,10450,5291
1985,7094,5130
1986,4976,5814
1987,6482,5775
1988,7208,6960
1989,8152,5539
1990,7148,6128
1991,8429,7591
1992,9742,9915
1994,7690,7569
1995,6103,14292
1996,6966,10795
1997,10924,9072
1998,4688,8183
1999,3393,5341
2000,4403,5869
2001,7729,22774
2002,4805,7162
2003,3317,7384
2004,5743,12022
2005,6331,12784
2006,9380,15550
2007,12824,22524
2008,9157,18998
2009,9273,19138
2010,7827,15947
2011,8246,14659
2012,15497,25445
2013,22273,37688
2014,44490,41128
2015,38853,44043
2016,34871,40001
2017,26445,24927
Grand Total,411868,523869
